index,_check,checking_peer,state,time
1,1,mfuentes,Start,00:01:00
2,1,mfuentes,Failure,00:32:00
3,2,ghickey,Start,00:08:00
4,2,ghickey,Failure,01:00:00
5,3,rmcfarland,Start,00:06:00
6,3,rmcfarland,Success,00:39:00
7,4,lcardiga,Start,00:10:00
8,4,lcardiga,Failure,00:44:00
9,5,amccormick,Start,00:14:00
10,5,amccormick,Success,00:20:00
11,6,abarnes,Start,00:23:00
12,6,abarnes,Success,01:21:00
13,7,dkaplan,Start,00:05:00
14,7,dkaplan,Failure,00:25:00
15,8,gwade,Start,00:04:00
16,8,gwade,Failure,00:14:00
17,9,gwade,Start,00:01:00
18,9,gwade,Failure,00:16:00
19,10,fdonovan,Start,00:03:00
20,10,fdonovan,Success,00:48:00
21,11,abowers,Start,00:02:00
22,11,abowers,Failure,00:07:00
23,12,kshannon,Start,00:06:00
24,12,kshannon,Success,00:21:00
25,13,mgarner,Start,00:02:00
26,13,mgarner,Failure,00:38:00
27,14,mfuentes,Start,00:01:00
28,14,mfuentes,Failure,00:22:00
29,15,vearleen,Start,00:09:00
30,15,vearleen,Success,00:25:00
31,16,vearleen,Start,00:09:00
32,16,vearleen,Success,00:31:00
33,17,lthayer,Start,00:06:00
34,17,lthayer,Success,00:48:00
35,18,cfry,Start,00:02:00
36,18,cfry,Failure,00:53:00
37,19,dwalsh,Start,00:08:00
38,19,dwalsh,Success,00:47:00
39,20,hbethann,Start,00:14:00
40,20,hbethann,Failure,00:34:00
41,21,gmcpherson,Start,00:23:00
42,21,gmcpherson,Failure,00:41:00
43,22,bmelanie,Start,00:01:00
44,22,bmelanie,Success,00:29:00
45,23,lhorn,Start,00:01:00
46,23,lhorn,Success,00:45:00
47,24,lcardiga,Start,00:03:00
48,24,lcardiga,Success,00:48:00
49,25,rmcfarland,Start,00:01:00
50,25,rmcfarland,Success,00:59:00
51,26,mfuentes,Start,00:08:00
52,26,mfuentes,Failure,00:58:00
53,27,alee,Start,00:15:00
54,27,alee,Success,00:44:00
55,28,rhurst,Start,00:18:00
56,28,rhurst,Success,01:16:00
57,29,senglish,Start,00:01:00
58,29,senglish,Success,00:10:00
59,30,rlarson,Start,00:08:00
60,30,rlarson,Success,00:40:00
61,31,rvalencia,Start,00:06:00
62,31,rvalencia,Failure,00:18:00
63,32,jmcintire,Start,00:15:00
64,32,jmcintire,Success,00:46:00
65,33,cmurphy,Start,00:01:00
66,33,cmurphy,Success,00:28:00
67,34,vearleen,Start,00:06:00
68,34,vearleen,Success,00:11:00
69,35,mfuentes,Start,00:03:00
70,35,mfuentes,Success,00:34:00
71,36,senglish,Start,00:05:00
72,36,senglish,Success,01:02:00
73,37,jgallegos,Start,00:04:00
74,37,jgallegos,Success,00:40:00
75,38,dkaplan,Start,00:06:00
76,38,dkaplan,Failure,00:55:00
77,39,rhurst,Start,00:12:00
78,39,rhurst,Failure,00:17:00
79,40,aclay,Start,00:06:00
80,40,aclay,Failure,00:39:00
81,41,ahill,Start,00:08:00
82,41,ahill,Failure,01:04:00
83,42,ghickey,Start,00:03:00
84,42,ghickey,Failure,01:01:00
85,43,djohns,Start,00:09:00
86,43,djohns,Success,00:49:00
87,44,senglish,Start,00:11:00
88,44,senglish,Success,00:33:00
89,45,vearleen,Start,00:18:00
90,45,vearleen,Success,00:45:00
91,46,amccormick,Start,00:06:00
92,46,amccormick,Failure,00:18:00
93,47,dwaller,Start,00:09:00
94,47,dwaller,Success,00:49:00
95,48,dwalsh,Start,00:16:00
96,48,dwalsh,Success,00:46:00
97,49,wcary,Start,00:19:00
98,49,wcary,Success,00:42:00
99,50,bleonard,Start,00:08:00
100,50,bleonard,Failure,00:18:00
101,51,bcameron,Start,00:04:00
102,51,bcameron,Success,00:18:00
103,52,gwade,Start,00:03:00
104,52,gwade,Failure,01:02:00
105,53,hbethann,Start,00:07:00
106,53,hbethann,Success,00:38:00
107,54,alee,Start,00:03:00
108,54,alee,Failure,00:24:00
109,55,abowers,Start,00:09:00
110,55,abowers,Success,00:37:00
111,56,rhurst,Start,00:09:00
112,56,rhurst,Success,00:54:00
113,57,cchoi,Start,00:17:00
114,57,cchoi,Success,00:30:00
115,58,ctrevino,Start,00:20:00
116,58,ctrevino,Success,01:18:00
117,59,vearleen,Start,00:02:00
118,59,vearleen,Success,01:01:00
119,60,mgarner,Start,00:10:00
120,60,mgarner,Success,01:09:00
